#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,14,0,0,4,0,4,6,4,7,6,0,3,0,1,0,0,0,0,0,0,0,0,0,20,10,0,6,0,0,0,7,18,7,0,0,0,9
20,13,15,1,3,2,0,4,11,10,8,7,1,4,0,6,0,4,0,0,0,4,16,4,9,29,27,3,24,5,7,3,11,35,8,20,16,8,38
46,31,35,7,11,11,18,22,31,39,27,24,13,25,11,31,0,20,14,13,19,29,38,32,48,56,57,29,60,29,45,34,54,59,44,65,53,28,74
67,47,66,16,30,30,41,36,68,54,49,46,25,34,34,48,0,38,33,36,48,58,73,56,76,89,98,44,111,45,74,58,87,113,57,114,86,44,121
57,48,62,10,26,29,27,39,71,58,39,35,38,62,32,47,0,35,33,39,48,67,72,56,68,79,98,57,115,55,66,65,90,115,56,113,109,42,127
89,59,81,19,52,45,48,55,93,83,61,48,62,66,50,61,1,53,62,61,79,91,107,85,99,104,126,89,169,90,98,86,118,164,96,170,163,67,171
114,75,102,27,70,70,69,76,116,111,91,62,80,92,82,93,13,75,97,103,122,127,137,111,126,125,174,130,217,116,129,114,153,200,136,212,215,88,205
133,90,133,37,87,88,95,89,153,134,109,81,105,116,108,108,25,110,145,140,150,164,178,150,159,165,214,166,269,150,159,149,190,240,177,255,272,125,245
165,102,161,53,105,120,126,107,188,170,130,105,136,142,140,135,49,147,187,185,203,220,224,179,191,201,257,205,335,185,190,182,225,295,223,318,346,152,291
145,118,173,55,123,133,128,130,211,170,155,111,165,159,154,147,45,170,222,211,223,226,254,200,196,212,273,227,386,224,195,207,263,322,244,337,378,182,300
157,120,181,74,133,145,130,132,221,189,164,124,173,172,165,159,57,206,241,242,240,253,269,224,228,229,297,285,426,248,222,228,274,366,257,358,415,213,310
192,148,215,97,163,176,160,185,273,222,208,171,203,224,234,200,75,254,295,305,295,296,324,263,262,272,353,350,516,312,262,288,334,438,315,427,508,276,342
202,170,251,105,185,211,188,209,324,240,241,203,246,258,260,216,106,294,339,342,315,333,381,300,309,299,406,441,573,354,299,320,366,504,345,487,545,322,377
220,182,261,120,209,238,219,234,381,256,260,225,276,278,292,237,127,338,397,376,354,347,425,338,339,347,444,524,647,401,329,346,383,560,391,524,619,357,391
224,203,285,123,236,275,255,274,411,268,316,242,316,310,330,259,142,408,449,422,385,382,475,357,386,380,485,596,684,442,380,386,402,607,432,554,648,429,404
222,220,280,117,249,305,269,272,428,278,335,262,340,325,351,300,159,441,470,446,369,397,489,369,403,398,500,648,730,480,401,407,378,643,448,583,677,444,405
230,229,303,130,265,340,291,310,464,289,368,289,372,335,385,333,176,476,508,482,396,430,521,400,454,460,546,700,782,515,427,429,437,663,500,608,710,489,426
276,260,355,149,289,412,359,388,537,349,437,331,443,410,453,383,222,555,561,563,444,480,616,442,521,513,616,792,873,605,474,460,484,749,567,685,799,564,493
